,fluxes
SPMS,0.0
ADMDC,0.0
METS,0.0
METAT,0.0
RE2034C,0.0
CYSTA,0.0
AHCYSNS,0.0
ARD1,0.0
MTAP,0.0
MDRPD,0.0
AHCi,0.0
ARD,0.0
LCYSTAT,0.0
HSERTA,0.0
MHPGLUT,0.0
MTAN,0.0
SERHL,0.0
ENOPH,0.0
SLCYSS,0.0
MTRI,0.0
ASPK,0.0
HSDxi,0.0
ASAD,0.0
HSDy,0.0
SERAT,0.0
HSST,0.0
SHSL2,0.0
CYSS,0.0
MTAD,0.0
PUNP8_1,0.0
HMR_6515,0.0
ASPTA3,0.0
DHFR2i,0.0
THFOR1,0.0
THFOR2,0.0
DHFOR,0.0
DHFR,0.0
FOLR2,0.0
DHNPA2r,0.0
DHFS,0.0
CDGR,0.0
r0120,0.0
r0777,0.0
r0775,0.0
THFGLUS,0.0
ADCS,0.0
CCGS,0.0
HPPK2,0.0
CPH4S,0.0
H4MPTGL_atp,0.0
r0708,0.0
MPTAT,0.0
PTHPS,0.0
DHPS2,0.0
ADCL,0.0
AKP1,0.0
CDGS,0.0
GTPCII2,0.0
DHPS2_2,0.0
MPTS,0.0
CPMPS_1,0.0
GTPC,0.0
MOCOS,0.0
MOCDS,0.0
MOGDS,0.0
DHNPTE,0.0
GLUTRS,0.0
CPPPGO2,0.0
FCLT,0.0
UPP3S,0.0
ADOCBIK,0.0
UPP3MT,0.0
HEMEOS,0.0
ADOCBLS,0.0
NNDMBRT,0.0
GLUTRR,0.0
RZ5PP,0.0
G1SAT,0.0
ACBIPGT,0.0
FEROc,0.0
SHCHD2,0.0
CBLAT,0.0
CPPPGO,0.0
HMBS,0.0
SHCHF,0.0
HEMEAS,0.0
UPPDC1,0.0
ADCPS1,0.0
COCHL,0.0
PPBNGS,0.0
ADCPS2,0.0
UPPDC2,0.0
PPPGO,0.0
PC20M,0.0
PRE3BS,0.0
PC17M,0.0
PC11M,0.0
R05219,0.0
PC6AR,0.0
PC6YM,0.0
PC8XM,0.0
HYGBDIAS,0.0
R12184,0.0
ADCYRS,0.0
CBIAT,0.0
HOXG,0.0
THRD_L,0.0
TRPS1,0.0
GCCb,0.0
GCCc,0.0
AACTOOR,0.0
SERD_L,8.75
GCCa,0.0
THRS,0.0
THRA,0.0
SPTc,0.0
GLYTA,17.5
GHMT2r,-8.75
THRA2,0.0
PSSA120,0.0
PPND,0.0
TRPS3,0.0
ANS,0.0
DHQS,0.0
ANS2,0.0
PPNDH,0.0
ANPRT,0.0
SHK3Dr,0.0
AROH,0.0
PSCVT,0.0
PRAIi,0.0
TRPS2,0.0
DDPA,0.0
CHORS,0.0
DHQTi,0.0
SHKK,0.0
IGPS,0.0
CHORM,0.0
PHETA1,0.0
TYRTA,0.0
IPPS,0.0
ACCOAC,0.0
PPC,0.0
ME1,-5.357142857142858
PTAr,9.375
ACKr,-9.375
PFOR,0.0
GLYOX,0.0
ACYP_2,0.0
r0097,0.0
r0068,0.0
LGTHL,0.0
HCITS,0.0
OAADCS,0.0
PEPCK,-12.142857142857142
PGIA,0.0
UDPGD,0.0
PMANM,0.0
GFUCS,0.0
GMAND,0.0
MPAKI,0.0
MAN1PT,0.0
UDPG4E,0.0
UGE,0.0
G1PCTYT,0.0
GLGC,0.0
UAG2E,0.0
CDPGLC46DH,0.0
UAGCVT,0.0
UAPGR,0.0
ABFPT,0.0
PGAMT,0.0
HXAD,0.0
G1PACT,0.0
UAGDP,0.0
GF6PTA,0.0
R08968,0.0
UDPGALNAC6DH,0.0
UDPACGA6D,0.0
GDPPS,0.0
FMETTRS,0.0
METTRS,0.0
ASNTRAT,0.0
LYSTRS,0.0
THRTRS,0.0
PHETRS,0.0
ASPTRS,0.0
ARGTRS,0.0
TYRTRS,0.0
CYSTRS,0.0
TRPTRS,0.0
VALTRS,0.0
PROTRS,0.0
ILETRS,0.0
SERTRS,0.0
HISTRS,0.0
LEUTRS,0.0
GLNTRAT,0.0
GLNTRS,0.0
GLYTRS,0.0
ALATRS,0.0
ICDHyr,0.0
FTHFLi,0.0
MTHFD,0.0
MTHFC,0.0
ARGSS,2.7678571428571423
ARGSL,2.7678571428571423
ALAD_L,0.0
P5CD,0.0
ASNS1,0.0
AGTi,0.0
ASPO1,0.0
GLNS,2.7678571428571423
SSALx,0.0
SSALy,0.0
ASPTA,-2.7678571428571423
FACOAL160,0.0
3OAR80,0.0
3OAR100,0.0
3HAD160,0.0
3OAR140,0.0
3OAR120,0.0
3OAR60,0.0
3HAD80,0.0
3HAD180,0.0
3HAD100,0.0
3HAD60,0.0
MCOATA,0.0
KAS14,0.0
3HAD120,0.0
KAS15,0.0
3OAR160,0.0
3HAD140,0.0
3OAR40,0.0
3HAD40,0.0
3OAS60,0.0
3OAS80,0.0
3OAS100,0.0
3OAS120,0.0
3OAS140,0.0
3OAS160,0.0
EAR40x,0.0
EAR60x,0.0
EAR80x,0.0
EAR100x,0.0
EAR120x,0.0
EAR140x,0.0
EAR160x,0.0
FA160ACPHi,0.0
3OAS180,0.0
3OAR180,0.0
EAR180x,0.0
FA80ACPHi,0.0
FA100ACPHi,0.0
FA120ACPHi,0.0
FA140ACPHi,0.0
FA180ACPHi,0.0
RPG161161,0.0
RPG161140,0.0
RPG160161,0.0
RPE161161,0.0
RPE161140,0.0
RPE160161,0.0
RC08362,0.0
RPC161161,0.0
RPC161140,0.0
RPC160161,0.0
RCL161161,0.0
RCL161140,0.0
RCL160161,0.0
THFAT,0.0
FTHFCL,0.0
NT5C,0.0
NNDPR,0.0
QULNS,0.0
NAMNPP,0.0
NADS2,0.0
NADK,0.0
NPH,0.0
NMNAT,0.0
ASPO6,0.0
NNAM,0.0
DNADDP,0.0
NNATr,0.0
NMNDA,0.0
NMNHYD,0.0
TDPGDH,0.0
TDPDRR,0.0
G1PTT,0.0
TDPDRE,0.0
GALUi,0.0
CSPMDDC,0.0
PUTA3,0.0
G5SD,0.0
PHCD,0.0
GLU5K,0.0
APRTO2,0.0
4HGLSD,0.0
SGDS,0.0
HPROa,0.0
ARGDC,0.0
P5CR,0.0
P5CRx,0.0
HPROb,0.0
ORNTA,0.0
PHCHGSm,0.0
PROD3,0.0
G5SADs,0.0
EHGLAT,0.0
PBAL,0.0
APCPT,0.0
KARA1,0.0
DPR,0.0
ACLS,0.0
PPNCL2,0.0
ASP1DC,0.0
DPCOAK,0.0
APNPT,0.0
VALTA,0.0
DHAD1,0.0
DPCOAPP,-13.57142857142857
PPCDC,0.0
MOHMT,0.0
PNTK,0.0
APPAT,-13.57142857142857
GLYCL,8.75
HPI,0.0
DDPGA,0.0
PGLYCP,0.0
GLYCTO2,0.0
ACOTA,0.0
URCB,2.7678571428571423
OCT,2.7678571428571423
ALPHNH,2.7678571428571423
ORNTAC,0.0
ACGS,0.0
AGPR,0.0
ACGK,0.0
ARGN,2.7678571428571423
GMHEPAT,0.0
UHGADA,0.0
MOAT2,0.0
LPADSS,0.0
TDSK,0.0
U23GAAT,0.0
AGMHE,0.0
S7PI,0.0
USHD,0.0
MOAT,0.0
UAGAAT,0.0
KDOPS,0.0
A5PISO,0.0
KDOPP,0.0
KDOCT2,0.0
GMHEPK,0.0
GMHEPPA,0.0
IPPMIa,0.0
ILETA,0.0
IPMD,0.0
DHAD2,0.0
ACHBS,0.0
LEUTA,0.0
CITCIb,0.0
IPPMIb,0.0
2ACLMM,0.0
KARA4,0.0
KARI_1,0.0
KARI_23dhmp_1,0.0
ERTHMMOR,0.0
CITCIa,0.0
CITMS,0.0
OMCDC,0.0
GTHPi,0.0
GTHS,0.0
GLUCYS,0.0
APCS,0.0
AMPTASECG,0.0
OPAH,0.0
CYANST,0.0
PAPSR,0.0
SULR,0.0
42A12BOOX,0.0
TYROXDAc,0.0
3MOXTYROX,0.0
41R2A1H12BOOX,0.0
34HPPYRI,0.0
34DHOXPEGOX,0.0
MAOLNOR,0.0
HMR_6747,0.0
41R1H2MAE12BOOX,0.0
SDPTA,0.0
SDPDS,0.0
DAPDC,0.0
DAPE,0.0
THDPS,0.0
UGAGDS,0.0
UGMDDS2,0.0
H4THDPR,0.0
H4THDPS,0.0
FBA2,0.0
PSPPS,0.0
TOCOPHOM2,0.0
CHRPL,0.0
TOCOPHOM1,0.0
DMQMT,0.0
OMMBLHX,0.0
OMBZLM,0.0
OMPHHX,0.0
OHPHM,0.0
OPHHXy,0.0
OPHBDC,0.0
HBZOPT,0.0
OXPTNDH,0.0
PROD2,0.0
HSTPT,0.0
PRATPP,0.0
PRMICI,0.0
HISDr,0.0
IGPDH,0.0
PRAMPC,0.0
IG3PS,0.0
ATPPRT,0.0
HP,0.0
HISTDa,0.0
HISTDb,0.0
PEAMNO,0.0
CINNDO,0.0
3HXKYNOXDA,0.0
5HOXINOXDA,0.0
TRYPTAOX,0.0
NTRLASE,0.0
NTRLASE3,0.0
NTRLASE2,0.0
ALAALAr,0.0
UAMAGS,0.0
ALATA_D,0.0
GLUR,0.0
ALAR,0.0
BGLA,0.0
UAAGDS,0.0
UGMDDS,0.0
PAPPT3,0.0
UDCPDP,0.0
UDCPDPS,0.0
UAAGLS2,0.0
UGLDDS2,0.0
PAPPT2,0.0
UAGPT3,0.0
UAMAS,0.0
UAGPT2,0.0
DHAPT,0.0
ALCD19y,0.0
MI3PP,0.0
MI1PP,0.0
MI4PP,0.0
G3PD2,0.0
ETHAAL,0.0
G3PD,0.0
RE3511C,0.0
RE0066C,0.0
G3PD1ir,0.0
GPDDA1,0.0
GPDDA2,0.0
MICITDr,0.0
PTA2,0.0
ACOAD1,0.0
TMAMT,0.0
DXPS,0.0
TDP,0.0
TMPK,0.0
TMPPP,0.0
TMDPPK,0.0
AHMMPDPT,0.0
AHMMPS2,0.0
DXYTST,0.0
THZT,0.0
TMPPP_1,0.0
GLYCOX1,0.0
THMP,0.0
RBFSb,0.0
RBFK,0.0
FMNRx,0.0
DHPPDA2,0.0
APRAUR,0.0
AFAT,0.0
PMDPHT,0.0
RBFSa,0.0
DB4PS,0.0
4HTHRS,0.0
OHPBAT,0.0
NADTRHD,0.0
AOXSr2,0.0
OPMEACPD,0.0
AOXSr,0.0
AMAOTr,0.0
DBTS,0.0
PMEACPE,0.0
OGMEACPD,0.0
DXPRIi,0.0
MEPCT,0.0
OCTDPS,0.0
GRTT,0.0
MECDPS,0.0
CDPMEK,0.0
DMATT,0.0
SQLC,0.0
SQLC2,0.0
BDG2HCGHD,0.0
FALDtpc,30.0
NO3tex,17.142857142857142
NO3tcpp,17.142857142857142
NO2tcpp,17.142857142857142
NO2tep,0.0
N2Otep,-8.571428571428571
N2Otcp,0.0
NOtep,0.0
NOtcp,0.0
Htep,0.0
Htcp,-60.0
N2tep,0.0
N2tcp,0.0
FORtep,0.0
FORtcp,0.0
PItcp,0.0
PItpe,0.0
O2tcp,-5.0
O2tpe,35.0
NH4tep,0.0
NH4tcp,0.0
CO2tcp,11.25
CO2tep,-11.25
H2Otcp,33.39285714285714
H2Otep,-89.10714285714286
CH4tep,0.0
CH4tcp,30.0
PYRtep,0.0
PYRtcp,0.0
MEOHtcp,0.0
MEOHtep,0.0
ACtcp,9.375
ACtep,-9.375
SUCCtcp,0.0
SUCCtep,0.0
LACtcp,0.0
LACtep,0.0
GLYCtep,0.0
GLYCtcp,0.0
Mg2tep,0.0
Mg2tcp,0.0
Ca2tep,0.0
Ca2tcp,0.0
H2tce,0.0
cobalt2tce,0.0
Cutce,0.0
Fetce,0.0
Biomass_reaction,0.0
DM_mko_biomass_c,-0.0
EX_no3_e,-17.142857142857142
EX_no2_e,0.0
EX_n2o_e,8.571428571428571
EX_no_e,0.0
EX_h2o_e,89.10714285714286
EX_h_e,0.0
EX_n2_e,0.0
EX_for_e,0.0
EX_pi_e,0.0
EX_o2_e,-35.0
EX_nh4_e,-0.0
EX_co2_e,11.25
EX_ch4_e,-30.0
EX_pyr_e,0.0
EX_meoh_e,0.0
EX_ac_e,9.375
EX_succ_e,0.0
EX_lac__D_e,-0.0
EX_glyc_e,-0.0
EX_mg2_e,0.0
EX_ca2_e,0.0
EX_h2_e,-0.0
EX_cobalt2_e,0.0
EX_cu2_e,0.0
EX_fe2_e,0.0
SK_amp_c,0.0
SK_CPC161161_c,0.0
SK_cys__L_c,0.0
SK_datp_c,0.0
SK_sql_c,0.0
SK_dgtp_c,0.0
SK_CPC161140_c,0.0
SK_udcpp_c,0.0
SK_thr__L_c,0.0
SK_CPC160161_c,0.0
SK_ile__L_c,0.0
SK_his__L_c,0.0
SK_leu__L_c,0.0
SK_dctp_c,0.0
SK_nad_c,0.0
SK_met__L_c,0.0
