NEWgene	NEWtag	refgene	reftag	oldtag
lcl|AP027149.1_cds_BDV36802.1_55	DSM21852_00550	NZ_CP019948.1_cds_WP_085770996.1_1400	B1812_RS07245	B1812_07270
lcl|AP027149.1_cds_BDV36802.1_55	DSM21852_00550	NZ_CP019948.1_cds_WP_085773571.1_1399	B1812_RS07240	B1812_07265
lcl|AP027149.1_cds_BDV36803.1_56	DSM21852_00560	NZ_CP019948.1_cds_WP_085770997.1_1401	B1812_RS07250	B1812_07275
lcl|AP027149.1_cds_BDV36804.1_57	DSM21852_00570	NZ_CP019948.1_cds_WP_085770998.1_1402	B1812_RS07255	B1812_07280
lcl|AP027149.1_cds_BDV36805.1_58	DSM21852_00580	NZ_CP019948.1_cds_WP_085770999.1_1403	B1812_RS07260	B1812_07285
lcl|AP027149.1_cds_BDV36806.1_59	DSM21852_00590	NZ_CP019948.1_cds_WP_085771000.1_1404	B1812_RS07265	B1812_07290
lcl|AP027149.1_cds_BDV36807.1_60	DSM21852_00600	NZ_CP019948.1_cds_WP_085771001.1_1405	B1812_RS07270	B1812_07295
lcl|AP027149.1_cds_BDV36808.1_61	DSM21852_00610	NZ_CP019948.1_cds_WP_245300119.1_1406	B1812_RS07275	B1812_07300
lcl|AP027149.1_cds_BDV36809.1_62	DSM21852_00620	NZ_CP019948.1_cds_WP_085771002.1_1407	B1812_RS07280	B1812_07305
lcl|AP027149.1_cds_BDV36810.1_63	DSM21852_00630	NZ_CP019948.1_cds_WP_085771003.1_1408	B1812_RS07285	B1812_07310
lcl|AP027149.1_cds_BDV36811.1_64	DSM21852_00640	NZ_CP019948.1_cds_WP_158658648.1_1409	B1812_RS22490	
lcl|AP027149.1_cds_BDV36812.1_65	DSM21852_00650	NZ_CP019948.1_cds_WP_245300244.1_1410	B1812_RS07290	B1812_07315
lcl|AP027149.1_cds_BDV36813.1_66	DSM21852_00660	NZ_CP019948.1_cds_WP_085773573.1_1411	B1812_RS07295	B1812_07320
lcl|AP027149.1_cds_BDV36814.1_67	DSM21852_00670	NZ_CP019948.1_cds_WP_085771005.1_1412	B1812_RS07300	B1812_07325
lcl|AP027149.1_cds_BDV36815.1_68	DSM21852_00680	NZ_CP019948.1_cds_WP_085771006.1_1413	B1812_RS07305	B1812_07330
lcl|AP027149.1_cds_BDV36816.1_69	DSM21852_00690	NZ_CP019948.1_cds_WP_199769041.1_1414	B1812_RS07310	B1812_07335
lcl|AP027149.1_cds_BDV36817.1_70	DSM21852_00700	NZ_CP019948.1_cds_WP_245300120.1_1415	B1812_RS07315	B1812_07340
lcl|AP027149.1_cds_BDV36818.1_71	DSM21852_00710	NZ_CP019948.1_cds_WP_085771008.1_1416	B1812_RS07320	B1812_07345
lcl|AP027149.1_cds_BDV36819.1_72	DSM21852_00720	NZ_CP019948.1_cds_WP_245300122.1_1417	B1812_RS23300	B1812_07350
lcl|AP027149.1_cds_BDV36820.1_73	DSM21852_00730	NZ_CP019948.1_cds_WP_085771009.1_1418	B1812_RS07330	B1812_07355
lcl|AP027149.1_cds_BDV36821.1_74	DSM21852_00740	NZ_CP019948.1_cds_WP_085771010.1_1419	B1812_RS07335	B1812_07360
lcl|AP027149.1_cds_BDV36822.1_75	DSM21852_00750	NZ_CP019948.1_cds_WP_085771011.1_1420	B1812_RS07340	B1812_07365
lcl|AP027149.1_cds_BDV36824.1_77	DSM21852_00770	NZ_CP019948.1_cds_WP_085771013.1_1421	B1812_RS07350	B1812_07375
lcl|AP027149.1_cds_BDV36825.1_78	DSM21852_00780	NZ_CP019948.1_cds_WP_245300123.1_1422	B1812_RS07355	B1812_07380
lcl|AP027149.1_cds_BDV36826.1_79	DSM21852_00790	NZ_CP019948.1_cds_WP_085771015.1_1423	B1812_RS07365	B1812_07390
lcl|AP027149.1_cds_BDV36828.1_81	DSM21852_00810	NZ_CP019948.1_cds_WP_158658650.1_1424	B1812_RS07375	B1812_07400
lcl|AP027149.1_cds_BDV36829.1_82	DSM21852_00820	NZ_CP019948.1_cds_WP_085771018.1_1425	B1812_RS07380	B1812_07405
lcl|AP027149.1_cds_BDV36830.1_83	DSM21852_00830	NZ_CP019948.1_cds_WP_085771019.1_1426	B1812_RS07385	B1812_07410
lcl|AP027149.1_cds_BDV36831.1_84	DSM21852_00840	NZ_CP019948.1_cds_WP_245300125.1_1427	B1812_RS07390	B1812_07415
lcl|AP027149.1_cds_BDV36832.1_85	DSM21852_00850	NZ_CP019948.1_cds_WP_085771022.1_1428	B1812_RS07400	B1812_07425
lcl|AP027149.1_cds_BDV36833.1_86	DSM21852_00860	NZ_CP019948.1_cds_WP_085773577.1_1429	B1812_RS07410	B1812_07435
lcl|AP027149.1_cds_BDV36833.1_86	DSM21852_00860	NZ_CP019948.1_cds_WP_245299967.1_3312	B1812_RS17170	B1812_17270
lcl|AP027149.1_cds_BDV36835.1_88	DSM21852_00880	NZ_CP019948.1_cds_WP_085771024.1_1430	B1812_RS07420	B1812_07445
lcl|AP027149.1_cds_BDV36836.1_89	DSM21852_00890	NZ_CP019948.1_cds_WP_085771025.1_1431	B1812_RS07425	B1812_07450
lcl|AP027149.1_cds_BDV36837.1_90	DSM21852_00900	NZ_CP019948.1_cds_WP_085771026.1_1432	B1812_RS07430	B1812_07455
lcl|AP027149.1_cds_BDV36838.1_91	DSM21852_00910	NZ_CP019948.1_cds_WP_085771027.1_1433	B1812_RS07435	B1812_07460
lcl|AP027149.1_cds_BDV36839.1_92	DSM21852_00920	NZ_CP019948.1_cds_WP_085773578.1_1434	B1812_RS07440	B1812_07465
lcl|AP027149.1_cds_BDV36840.1_93	DSM21852_00930	NZ_CP019948.1_cds_WP_085771028.1_1435	B1812_RS07445	B1812_07470
lcl|AP027149.1_cds_BDV36841.1_94	DSM21852_00940	NZ_CP019948.1_cds_WP_085771029.1_1436	B1812_RS07450	B1812_07475
lcl|AP027149.1_cds_BDV36842.1_95	DSM21852_00950	NZ_CP019948.1_cds_WP_085771030.1_1437	B1812_RS07455	B1812_07480
lcl|AP027149.1_cds_BDV36843.1_96	DSM21852_00960	NZ_CP019948.1_cds_WP_245300127.1_1438	B1812_RS07460	B1812_07485
lcl|AP027149.1_cds_BDV36844.1_97	DSM21852_00970	NZ_CP019948.1_cds_WP_085771031.1_1439	B1812_RS07465	B1812_07490
lcl|AP027149.1_cds_BDV36845.1_98	DSM21852_00980	NZ_CP019948.1_cds_WP_085771032.1_1440	B1812_RS07470	B1812_07495
lcl|AP027149.1_cds_BDV36846.1_99	DSM21852_00990	NZ_CP019948.1_cds_WP_085771033.1_1441	B1812_RS07475	B1812_07500
lcl|AP027149.1_cds_BDV36847.1_100	DSM21852_01000	NZ_CP019948.1_cds_WP_245300129.1_1442	B1812_RS07480	B1812_07505
lcl|AP027149.1_cds_BDV36848.1_101	DSM21852_01010	NZ_CP019948.1_cds_WP_085771035.1_1443	B1812_RS07485	B1812_07510
lcl|AP027149.1_cds_BDV36849.1_102	DSM21852_01020	NZ_CP019948.1_cds_WP_085771037.1_1445	B1812_RS07495	B1812_07520
lcl|AP027149.1_cds_BDV36850.1_103	DSM21852_01030	NZ_CP019948.1_cds_WP_085771038.1_1446	B1812_RS07500	B1812_07525
lcl|AP027149.1_cds_BDV36851.1_104	DSM21852_01040	NZ_CP019948.1_cds_WP_085771039.1_1447	B1812_RS07505	B1812_07530
lcl|AP027149.1_cds_BDV36852.1_105	DSM21852_01050	NZ_CP019948.1_cds_WP_085771040.1_1448	B1812_RS07510	B1812_07535
lcl|AP027149.1_cds_BDV36853.1_106	DSM21852_01060	NZ_CP019948.1_cds_WP_085771041.1_1449	B1812_RS07515	B1812_07540
lcl|AP027149.1_cds_BDV36855.1_108	DSM21852_01080	NZ_CP019948.1_cds_WP_085771043.1_1450	B1812_RS07525	B1812_07550
lcl|AP027149.1_cds_BDV36856.1_109	DSM21852_01090	NZ_CP019948.1_cds_WP_085771044.1_1451	B1812_RS07530	B1812_07555
lcl|AP027149.1_cds_BDV36857.1_110	DSM21852_01100	NZ_CP019948.1_cds_WP_158658652.1_1452	B1812_RS07535	B1812_07560
lcl|AP027149.1_cds_BDV36858.1_111	DSM21852_01110	NZ_CP019948.1_cds_WP_085771046.1_1453	B1812_RS07540	B1812_07565
lcl|AP027149.1_cds_BDV36859.1_112	DSM21852_01120	NZ_CP019948.1_cds_WP_085771047.1_1454	B1812_RS07545	B1812_07570
lcl|AP027149.1_cds_BDV36860.1_113	DSM21852_01130	NZ_CP019948.1_cds_WP_085771049.1_1455	B1812_RS07555	B1812_07580
lcl|AP027149.1_cds_BDV36861.1_114	DSM21852_01140	NZ_CP019948.1_cds_WP_085771050.1_1456	B1812_RS07560	B1812_07585
lcl|AP027149.1_cds_BDV36862.1_115	DSM21852_01150	NZ_CP019948.1_cds_WP_085771051.1_1457	B1812_RS07565	B1812_07590
lcl|AP027149.1_cds_BDV36863.1_116	DSM21852_01160	NZ_CP019948.1_cds_WP_085771052.1_1458	B1812_RS07570	B1812_07595
lcl|AP027149.1_cds_BDV36864.1_117	DSM21852_01170	NZ_CP019948.1_cds_WP_158658653.1_1459	B1812_RS07575	B1812_07600
lcl|AP027149.1_cds_BDV36865.1_118	DSM21852_01180	NZ_CP019948.1_cds_WP_085771054.1_1460	B1812_RS07580	B1812_07605
lcl|AP027149.1_cds_BDV36866.1_119	DSM21852_01190	NZ_CP019948.1_cds_WP_158658654.1_1461	B1812_RS22495	
lcl|AP027149.1_cds_BDV36867.1_120	DSM21852_01200	NZ_CP019948.1_cds_WP_085771055.1_1462	B1812_RS07585	B1812_07610
lcl|AP027149.1_cds_BDV36868.1_121	DSM21852_01210	NZ_CP019948.1_cds_WP_085773580.1_1464	B1812_RS07595	B1812_07620
lcl|AP027149.1_cds_BDV36869.1_122	DSM21852_01220	NZ_CP019948.1_cds_WP_158658655.1_1465	B1812_RS07600	
lcl|AP027149.1_cds_BDV36869.1_122	DSM21852_01220	NZ_CP019948.1_cds_WP_085772456.1_3053	B1812_RS15865	
lcl|AP027149.1_cds_BDV36870.1_123	DSM21852_01230	NZ_CP019948.1_cds_WP_085771058.1_1466	B1812_RS07605	B1812_07635
lcl|AP027149.1_cds_BDV36871.1_124	DSM21852_01240	NZ_CP019948.1_cds_WP_085771059.1_1467	B1812_RS07610	B1812_07640
lcl|AP027149.1_cds_BDV36872.1_125	DSM21852_01250	NZ_CP019948.1_cds_WP_245300131.1_1468	B1812_RS07615	B1812_07645
lcl|AP027149.1_cds_BDV36873.1_126	DSM21852_01260	NZ_CP019948.1_cds_WP_158658656.1_1469	B1812_RS07620	B1812_07650
lcl|AP027149.1_cds_BDV36875.1_128	DSM21852_01280	NZ_CP019948.1_cds_WP_085771061.1_1470	B1812_RS07625	B1812_07660
lcl|AP027149.1_cds_BDV36876.1_129	DSM21852_01290	NZ_CP019948.1_cds_WP_158658657.1_1471	B1812_RS22500	
lcl|AP027149.1_cds_BDV36877.1_130	DSM21852_01300	NZ_CP019948.1_cds_WP_245300133.1_1472	B1812_RS07635	B1812_07670
lcl|AP027149.1_cds_BDV36878.1_131	DSM21852_01310	NZ_CP019948.1_cds_WP_085771063.1_1473	B1812_RS07640	B1812_07675
lcl|AP027149.1_cds_BDV36879.1_132	DSM21852_01320	NZ_CP019948.1_cds_WP_085771064.1_1474	B1812_RS07645	B1812_07680
lcl|AP027149.1_cds_BDV36880.1_133	DSM21852_01330	NZ_CP019948.1_cds_WP_085773583.1_1475	B1812_RS07650	B1812_07685
lcl|AP027149.1_cds_BDV36881.1_134	DSM21852_01340	NZ_CP019948.1_cds_WP_245300245.1_1477	B1812_RS23310	
lcl|AP027149.1_cds_BDV36881.1_134	DSM21852_01340	NZ_CP019948.1_cds_1476	B1812_RS23305	
lcl|AP027149.1_cds_BDV36882.1_135	DSM21852_01350	NZ_CP019948.1_cds_WP_085771065.1_1478	B1812_RS07660	B1812_07695
lcl|AP027149.1_cds_BDV36883.1_136	DSM21852_01360	NZ_CP019948.1_cds_WP_085773584.1_1479	B1812_RS07665	B1812_07700
lcl|AP027149.1_cds_BDV36884.1_137	DSM21852_01370	NZ_CP019948.1_cds_WP_085771066.1_1480	B1812_RS07670	B1812_07705
lcl|AP027149.1_cds_BDV36885.1_138	DSM21852_01380	NZ_CP019948.1_cds_WP_085771067.1_1481	B1812_RS07675	B1812_07710
lcl|AP027149.1_cds_BDV36886.1_139	DSM21852_01390	NZ_CP019948.1_cds_WP_085771068.1_1482	B1812_RS07680	B1812_07715
lcl|AP027149.1_cds_BDV36887.1_140	DSM21852_01400	NZ_CP019948.1_cds_WP_085773585.1_1483	B1812_RS07685	B1812_07720
lcl|AP027149.1_cds_BDV36888.1_141	DSM21852_01410	NZ_CP019948.1_cds_WP_085771069.1_1484	B1812_RS07690	B1812_07725
lcl|AP027149.1_cds_BDV36889.1_142	DSM21852_01420	NZ_CP019948.1_cds_WP_085771070.1_1485	B1812_RS07695	B1812_07730
lcl|AP027149.1_cds_BDV36890.1_143	DSM21852_01430	NZ_CP019948.1_cds_WP_158658659.1_1486	B1812_RS07700	B1812_07735
lcl|AP027149.1_cds_BDV36891.1_144	DSM21852_01440	NZ_CP019948.1_cds_WP_158658659.1_1486	B1812_RS07700	B1812_07735
lcl|AP027149.1_cds_BDV36892.1_145	DSM21852_01450	NZ_CP019948.1_cds_WP_085771072.1_1487	B1812_RS07705	B1812_07740
lcl|AP027149.1_cds_BDV36893.1_146	DSM21852_01460	NZ_CP019948.1_cds_WP_085771073.1_1488	B1812_RS07710	B1812_07745
lcl|AP027149.1_cds_BDV36895.1_148	DSM21852_01480	NZ_CP019948.1_cds_WP_085771075.1_1490	B1812_RS07725	B1812_07760
lcl|AP027149.1_cds_BDV36896.1_149	DSM21852_01490	NZ_CP019948.1_cds_WP_085771076.1_1491	B1812_RS07730	B1812_07765
lcl|AP027149.1_cds_BDV36897.1_150	DSM21852_01500	NZ_CP019948.1_cds_WP_245300135.1_1492	B1812_RS07735	B1812_07770
lcl|AP027149.1_cds_BDV36898.1_151	DSM21852_01510	NZ_CP019948.1_cds_WP_085771077.1_1493	B1812_RS07740	B1812_07775
lcl|AP027149.1_cds_BDV36899.1_152	DSM21852_01520	NZ_CP019948.1_cds_WP_085770674.1_1494	B1812_RS07745	B1812_07780
lcl|AP027149.1_cds_BDV36899.1_152	DSM21852_01520	NZ_CP019948.1_cds_WP_085770674.1_1052	B1812_RS05390	B1812_05410
lcl|AP027149.1_cds_BDV36900.1_153	DSM21852_01530	NZ_CP019948.1_cds_WP_085770675.1_1495	B1812_RS07750	B1812_07785
lcl|AP027149.1_cds_BDV36900.1_153	DSM21852_01530	NZ_CP019948.1_cds_WP_085770675.1_1053	B1812_RS05395	B1812_05415
lcl|AP027149.1_cds_BDV36901.1_154	DSM21852_01540	NZ_CP019948.1_cds_WP_085770676.1_1496	B1812_RS07755	B1812_07790
lcl|AP027149.1_cds_BDV36901.1_154	DSM21852_01540	NZ_CP019948.1_cds_WP_085770676.1_1054	B1812_RS05400	B1812_05420
lcl|AP027149.1_cds_BDV36902.1_155	DSM21852_01550	NZ_CP019948.1_cds_WP_102938183.1_1497	B1812_RS07760	B1812_07795
lcl|AP027149.1_cds_BDV36902.1_155	DSM21852_01550	NZ_CP019948.1_cds_WP_102938170.1_1055	B1812_RS05405	B1812_05425
lcl|AP027149.1_cds_BDV36903.1_156	DSM21852_01560	NZ_CP019948.1_cds_WP_085771079.1_1498	B1812_RS07765	B1812_07800
lcl|AP027149.1_cds_BDV36904.1_157	DSM21852_01570	NZ_CP019948.1_cds_WP_085771080.1_1499	B1812_RS07770	B1812_07805
lcl|AP027149.1_cds_BDV36905.1_158	DSM21852_01580	NZ_CP019948.1_cds_WP_245300136.1_1500	B1812_RS07775	B1812_07810
lcl|AP027149.1_cds_BDV36906.1_159	DSM21852_01590	NZ_CP019948.1_cds_WP_245300137.1_1501	B1812_RS07780	B1812_07815
lcl|AP027149.1_cds_BDV36907.1_160	DSM21852_01600	NZ_CP019948.1_cds_WP_085773590.1_1502	B1812_RS07785	B1812_07820
lcl|AP027149.1_cds_BDV36908.1_161	DSM21852_01610	NZ_CP019948.1_cds_WP_085771081.1_1503	B1812_RS07790	B1812_07825
lcl|AP027149.1_cds_BDV36909.1_162	DSM21852_01620	NZ_CP019948.1_cds_WP_085771082.1_1504	B1812_RS07795	B1812_07830
lcl|AP027149.1_cds_BDV36910.1_163	DSM21852_01630	NZ_CP019948.1_cds_WP_085771083.1_1505	B1812_RS07800	B1812_07835
lcl|AP027149.1_cds_BDV36911.1_164	DSM21852_01640	NZ_CP019948.1_cds_WP_085771084.1_1506	B1812_RS07805	B1812_07840
lcl|AP027149.1_cds_BDV36912.1_165	DSM21852_01650	NZ_CP019948.1_cds_WP_085771085.1_1507	B1812_RS07810	B1812_07845
lcl|AP027149.1_cds_BDV36913.1_166	DSM21852_01660	NZ_CP019948.1_cds_WP_085771086.1_1508	B1812_RS07815	B1812_07850
lcl|AP027149.1_cds_BDV36914.1_167	DSM21852_01670	NZ_CP019948.1_cds_WP_085773591.1_1509	B1812_RS07820	B1812_07855
lcl|AP027149.1_cds_BDV36915.1_168	DSM21852_01680	NZ_CP019948.1_cds_WP_085771087.1_1510	B1812_RS07825	B1812_07860
lcl|AP027149.1_cds_BDV36916.1_169	DSM21852_01690	NZ_CP019948.1_cds_WP_085771088.1_1511	B1812_RS07830	B1812_07865
lcl|AP027149.1_cds_BDV36917.1_170	DSM21852_01700	NZ_CP019948.1_cds_WP_085771089.1_1512	B1812_RS07835	B1812_07870
lcl|AP027149.1_cds_BDV36918.1_171	DSM21852_01710	NZ_CP019948.1_cds_WP_085771091.1_1513	B1812_RS07840	B1812_07875
lcl|AP027149.1_cds_BDV36919.1_172	DSM21852_01720	NZ_CP019948.1_cds_WP_085771092.1_1514	B1812_RS07845	B1812_07880
lcl|AP027149.1_cds_BDV36920.1_173	DSM21852_01730	NZ_CP019948.1_cds_WP_085771093.1_1515	B1812_RS07850	B1812_07885
lcl|AP027149.1_cds_BDV36921.1_174	DSM21852_01740	NZ_CP019948.1_cds_WP_085771094.1_1516	B1812_RS07855	B1812_07890
lcl|AP027149.1_cds_BDV36922.1_175	DSM21852_01750	NZ_CP019948.1_cds_WP_199769044.1_1517	B1812_RS07860	B1812_07895
lcl|AP027149.1_cds_BDV36923.1_176	DSM21852_01760	NZ_CP019948.1_cds_WP_085773592.1_1518	B1812_RS07865	B1812_07900
lcl|AP027149.1_cds_BDV36924.1_177	DSM21852_01770	NZ_CP019948.1_cds_WP_085771096.1_1519	B1812_RS07870	B1812_07905
lcl|AP027149.1_cds_BDV36925.1_178	DSM21852_01780	NZ_CP019948.1_cds_WP_085771097.1_1520	B1812_RS07875	B1812_07910
lcl|AP027149.1_cds_BDV36926.1_179	DSM21852_01790	NZ_CP019948.1_cds_WP_245300138.1_1521	B1812_RS07880	B1812_07915
lcl|AP027149.1_cds_BDV36927.1_180	DSM21852_01800	NZ_CP019948.1_cds_WP_085771099.1_1522	B1812_RS07885	B1812_07920
