pw_ID	pw_name	C_ID	C_name
map01100	Metabolic pathways	C00209	Oxalate
map01100	Metabolic pathways	C00234	10-Formyltetrahydrofolate
map01100	Metabolic pathways	C00143	5,10-Methylenetetrahydrofolate
map01100	Metabolic pathways	C00083	Malonyl-CoA
map01100	Metabolic pathways	C00279	D-Erythrose 4-phosphate
map01100	Metabolic pathways	C00207	Acetone
map01100	Metabolic pathways	C00164	Acetoacetate
map01100	Metabolic pathways	C00222	3-Oxopropanoate
map01100	Metabolic pathways	C00154	Palmitoyl-CoA
map01100	Metabolic pathways	C00043	UDP-N-acetyl-alpha-D-glucosamine
map01100	Metabolic pathways	C00159	D-Mannose
map01100	Metabolic pathways	C00181	D-Xylose
map01100	Metabolic pathways	C00191	D-Glucuronate
map01100	Metabolic pathways	C00120	Biotin
map01100	Metabolic pathways	C00097	L-Cysteine
map01100	Metabolic pathways	C00263	L-Homoserine
map01100	Metabolic pathways	C00123	L-Leucine
map01100	Metabolic pathways	C00073	L-Methionine
map01100	Metabolic pathways	C00051	Glutathione
map01100	Metabolic pathways	C00219	Arachidonate
map01100	Metabolic pathways	C00246	Butanoic acid
map01100	Metabolic pathways	C00039	DNA
map01100	Metabolic pathways	C00217	D-Glutamate
map01100	Metabolic pathways	C00224	Adenylyl sulfate
map01100	Metabolic pathways	C00084	Acetaldehyde
map01100	Metabolic pathways	C00258	D-Glycerate
map01100	Metabolic pathways	C00198	D-Glucono-1,5-lactone
map01100	Metabolic pathways	C00116	Glycerol
map01100	Metabolic pathways	C00093	sn-Glycerol 3-phosphate
map01100	Metabolic pathways	C00046	RNA
map01100	Metabolic pathways	C00105	UMP
map01100	Metabolic pathways	C00381	Dolichol
map01100	Metabolic pathways	C01246	Dolichyl beta-D-glucosyl phosphate
map01100	Metabolic pathways	C03862	Dolichyl phosphate D-mannose
map01100	Metabolic pathways	C03021	Protein asparagine
map01100	Metabolic pathways	C00621	Dolichyl diphosphate
map01100	Metabolic pathways	C01290	Lactosylceramide
map01100	Metabolic pathways	C06022	UDP-3-O-(3-hydroxytetradecanoyl
map01100	Metabolic pathways	C06025	KDO2-lipid IVA
map01100	Metabolic pathways	C06026	KDO2-lipid A
map01100	Metabolic pathways	C06398	ADP-L-glycero-beta-D-manno-heptose
map01100	Metabolic pathways	C06397	ADP-D-glycero-beta-D-manno-heptose
map01100	Metabolic pathways	C07838	D-glycero-beta-D-manno-Heptose 1-phosphate
map01100	Metabolic pathways	C11472	D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
map01100	Metabolic pathways	C07836	D-glycero-beta-D-manno-Heptose 7-phosphate
map01100	Metabolic pathways	C00338	Lipopolysaccharide
map01100	Metabolic pathways	C01212	UDP-N-acetylmuramoyl-L-alanine
map01100	Metabolic pathways	C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine
map01100	Metabolic pathways	C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala
map01100	Metabolic pathways	C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala
map01100	Metabolic pathways	C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine
map01100	Metabolic pathways	C05894	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine
map01100	Metabolic pathways	C17541	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine
map01100	Metabolic pathways	C06427	(9Z,12Z,15Z
map01100	Metabolic pathways	C02737	Phosphatidylserine
map01100	Metabolic pathways	C00350	Phosphatidylethanolamine
map01100	Metabolic pathways	C00570	CDP-ethanolamine
map01100	Metabolic pathways	C00346	Ethanolamine phosphate
map01100	Metabolic pathways	C00307	CDP-choline
map01100	Metabolic pathways	C00588	Choline phosphate
map01100	Metabolic pathways	C01241	Phosphatidyl-N-methylethanolamine
map01100	Metabolic pathways	C04308	Phosphatidyl-N-dimethylethanolamine
map01100	Metabolic pathways	C00416	Phosphatidate
map01100	Metabolic pathways	C04046	3-D-Glucosyl-1,2-diacylglycerol
map01100	Metabolic pathways	C06040	Diglucosyldiacylglycerol
map01100	Metabolic pathways	C13508	Sulfoquinovosyldiacylglycerol
map01100	Metabolic pathways	C01264	2-Acetyl-1-alkyl-sn-glycero-3-phosphate
map01100	Metabolic pathways	C03820	1-Alkyl-2-acetyl-sn-glycerol
map01100	Metabolic pathways	C04598	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine
map01100	Metabolic pathways	C05977	2-Acyl-1-alkyl-sn-glycero-3-phosphate
map01100	Metabolic pathways	C03201	1-Alkyl-2-acylglycerol
map01100	Metabolic pathways	C04475	1-Alkyl-2-acylglycerophosphoethanolamine
map01100	Metabolic pathways	C04756	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine
map01100	Metabolic pathways	C04635	1-(1-Alkenyl
map01100	Metabolic pathways	C03454	1-Alkenyl-2-acylglycerol
map01100	Metabolic pathways	C02686	Galactosylceramide
map01100	Metabolic pathways	C06125	Sulfatide
map01100	Metabolic pathways	C00550	Sphingomyelin
map01100	Metabolic pathways	C02934	3-Dehydrosphinganine
map01100	Metabolic pathways	C05965	12(S
map01100	Metabolic pathways	C14823	8(S
map01100	Metabolic pathways	C14776	8(S
map01100	Metabolic pathways	C14812	12(R
map01100	Metabolic pathways	C14822	12(R
map01100	Metabolic pathways	C14768	5,6-EET
map01100	Metabolic pathways	C14772	5,6-DHET
map01100	Metabolic pathways	C14769	8,9-EET
map01100	Metabolic pathways	C14773	8,9-DHET
map01100	Metabolic pathways	C14770	11,12-EET
map01100	Metabolic pathways	C14774	11,12-DHET
map01100	Metabolic pathways	C14748	20-HETE
map01100	Metabolic pathways	C14749	19(S
map01100	Metabolic pathways	C05956	Prostaglandin G2
map01100	Metabolic pathways	C05356	5(S
map01100	Metabolic pathways	C02166	Leukotriene C4
map01100	Metabolic pathways	C05951	Leukotriene D4
map01100	Metabolic pathways	C05966	15(S
map01100	Metabolic pathways	C14781	15H-11,12-EETA
map01100	Metabolic pathways	C14782	11,12,15-THETA
map01100	Metabolic pathways	C14813	11H-14,15-EETA
map01100	Metabolic pathways	C14814	11,14,15-THETA
map01100	Metabolic pathways	C00427	Prostaglandin H2
map01100	Metabolic pathways	C02198	Thromboxane A2
map01100	Metabolic pathways	C05963	Thromboxane B2
map01100	Metabolic pathways	C05964	11-Dehydro-thromboxane B2
map01100	Metabolic pathways	C00639	Prostaglandin F2alpha
map01100	Metabolic pathways	C00584	Prostaglandin E2
map01100	Metabolic pathways	C01312	Prostaglandin I2
map01100	Metabolic pathways	C05961	6-Keto-prostaglandin F1alpha
map01100	Metabolic pathways	C05962	6-Keto-prostaglandin E1
map01100	Metabolic pathways	C00696	Prostaglandin D2
map01100	Metabolic pathways	C05957	Prostaglandin J2
map01100	Metabolic pathways	C05958	Delta-12-Prostaglandin J2
map01100	Metabolic pathways	C05953	Prostaglandin A2
map01100	Metabolic pathways	C05955	Prostaglandin C2
map01100	Metabolic pathways	C05954	Prostaglandin B2
map01100	Metabolic pathways	C03242	Dihomo-gamma-linolenate
map01100	Metabolic pathways	C06426	(6Z,9Z,12Z
map01100	Metabolic pathways	C14826	12(13
map01100	Metabolic pathways	C04785	13(S
map01100	Metabolic pathways	C04672	(9Z,15Z
map01100	Metabolic pathways	C01226	12-OPDA
map01100	Metabolic pathways	C16332	trans-2-Enoyl-OPC6-CoA
map01100	Metabolic pathways	C16338	3-Oxo-OPC4-CoA
map01100	Metabolic pathways	C08491	(-
map01100	Metabolic pathways	C00422	Triacylglycerol
map01100	Metabolic pathways	C01190	Glucosylceramide
map01100	Metabolic pathways	C05272	trans-Hexadec-2-enoyl-CoA
map01100	Metabolic pathways	C05273	trans-Tetradec-2-enoyl-CoA
map01100	Metabolic pathways	C05260	(S
map01100	Metabolic pathways	C03221	2-trans-Dodecenoyl-CoA
map01100	Metabolic pathways	C05262	(S
map01100	Metabolic pathways	C05275	trans-Dec-2-enoyl-CoA
map01100	Metabolic pathways	C05264	(S
map01100	Metabolic pathways	C01944	Octanoyl-CoA
map01100	Metabolic pathways	C05276	trans-Oct-2-enoyl-CoA
map01100	Metabolic pathways	C05266	(S
map01100	Metabolic pathways	C05270	Hexanoyl-CoA
map01100	Metabolic pathways	C05271	trans-Hex-2-enoyl-CoA
map01100	Metabolic pathways	C05268	(S
map01100	Metabolic pathways	C01144	(S
map01100	Metabolic pathways	C05763	trans-Hexadec-2-enoyl-[acp]
map01100	Metabolic pathways	C04633	(3R
map01100	Metabolic pathways	C05762	3-Oxohexadecanoyl-[acp]
map01100	Metabolic pathways	C05761	Tetradecanoyl-[acp]
map01100	Metabolic pathways	C05760	trans-Tetradec-2-enoyl-[acp]
map01100	Metabolic pathways	C04688	(3R
map01100	Metabolic pathways	C05759	3-Oxotetradecanoyl-[acp]
map01100	Metabolic pathways	C05223	Dodecanoyl-[acyl-carrier protein]
map01100	Metabolic pathways	C05758	trans-Dodec-2-enoyl-[acp]
map01100	Metabolic pathways	C05757	(3R
map01100	Metabolic pathways	C05756	3-Oxododecanoyl-[acp]
map01100	Metabolic pathways	C05755	Decanoyl-[acp]
map01100	Metabolic pathways	C05754	trans-Dec-2-enoyl-[acp]
map01100	Metabolic pathways	C04619	(3R
map01100	Metabolic pathways	C05753	3-Oxodecanoyl-[acp]
map01100	Metabolic pathways	C05752	Octanoyl-[acp]
map01100	Metabolic pathways	C05751	trans-Oct-2-enoyl-[acp]
map01100	Metabolic pathways	C04620	(3R
map01100	Metabolic pathways	C05750	3-Oxooctanoyl-[acp]
map01100	Metabolic pathways	C05749	Hexanoyl-[acp]
map01100	Metabolic pathways	C05748	trans-Hex-2-enoyl-[acp]
map01100	Metabolic pathways	C05747	(3R
map01100	Metabolic pathways	C05746	3-Oxohexanoyl-[acp]
map01100	Metabolic pathways	C05745	Butyryl-[acp]
map01100	Metabolic pathways	C04246	But-2-enoyl-[acyl-carrier protein]
map01100	Metabolic pathways	C04618	(3R
map01100	Metabolic pathways	C05744	Acetoacetyl-[acp]
map01100	Metabolic pathways	C01209	Malonyl-[acyl-carrier protein]
map01100	Metabolic pathways	C03939	Acetyl-[acyl-carrier protein]
map01100	Metabolic pathways	C11434	2-C-Methyl-D-erythritol 4-phosphate
map01100	Metabolic pathways	C11435	4-(Cytidine 5'-diphospho
map01100	Metabolic pathways	C11811	1-Hydroxy-2-methyl-2-butenyl 4-diphosphate
map01100	Metabolic pathways	C01143	(R
map01100	Metabolic pathways	C01107	(R
map01100	Metabolic pathways	C15972	Enzyme N6-(lipoyl
map01100	Metabolic pathways	C16238	Lipoyl-AMP
map01100	Metabolic pathways	C16241	(R
map01100	Metabolic pathways	C01561	Calcidiol
map01100	Metabolic pathways	C01673	Calcitriol
map01100	Metabolic pathways	C00751	Squalene
map01100	Metabolic pathways	C01054	(S
map01100	Metabolic pathways	C01724	Lanosterol
map01100	Metabolic pathways	C11455	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
map01100	Metabolic pathways	C15816	3-Keto-4-methylzymosterol
map01100	Metabolic pathways	C05103	4alpha-Methylzymosterol
map01100	Metabolic pathways	C05437	Zymosterol
map01100	Metabolic pathways	C15882	2-Methyl-6-phytylquinol
map01100	Metabolic pathways	C15883	2,3-Dimethyl-5-phytylquinol
map01100	Metabolic pathways	C02483	gamma-Tocopherol
map01100	Metabolic pathways	C02477	alpha-Tocopherol
map01100	Metabolic pathways	C14152	beta-Tocopherol
map01100	Metabolic pathways	C14151	delta-Tocopherol
map01100	Metabolic pathways	C01902	Cycloartenol
map01100	Metabolic pathways	C03845	5alpha-Cholest-8-en-3beta-ol
map01100	Metabolic pathways	C01189	Lathosterol
map01100	Metabolic pathways	C01164	7-Dehydrocholesterol
map01100	Metabolic pathways	C01802	Desmosterol
map01100	Metabolic pathways	C05107	7-Dehydrodesmosterol
map01100	Metabolic pathways	C05439	5alpha-Cholesta-7,24-dien-3beta-ol
map01100	Metabolic pathways	C05443	Vitamin D3
map01100	Metabolic pathways	C03594	7alpha-Hydroxycholesterol
map01100	Metabolic pathways	C05455	7alpha-Hydroxycholest-4-en-3-one
map01100	Metabolic pathways	C17339	4-Cholesten-7alpha,12alpha-diol-3-one
map01100	Metabolic pathways	C05453	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one
map01100	Metabolic pathways	C05454	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane
map01100	Metabolic pathways	C05446	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane
map01100	Metabolic pathways	C01301	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
map01100	Metabolic pathways	C04722	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
map01100	Metabolic pathways	C15613	(25R
map01100	Metabolic pathways	C17343	(25S
map01100	Metabolic pathways	C05451	7alpha-Hydroxy-5beta-cholestan-3-one
map01100	Metabolic pathways	C05452	3alpha,7alpha-Dihydroxy-5beta-cholestane
map01100	Metabolic pathways	C05444	3alpha,7alpha,26-Trihydroxy-5beta-cholestane
map01100	Metabolic pathways	C05445	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al
map01100	Metabolic pathways	C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanate
map01100	Metabolic pathways	C17345	(25R
map01100	Metabolic pathways	C17346	(25S
map01100	Metabolic pathways	C05500	20alpha-Hydroxycholesterol
map01100	Metabolic pathways	C05502	22(R
map01100	Metabolic pathways	C05501	20alpha,22beta-Dihydroxycholesterol
map01100	Metabolic pathways	C01176	17alpha-Hydroxyprogesterone
map01100	Metabolic pathways	C05488	11-Deoxycortisol
map01100	Metabolic pathways	C00735	Cortisol
map01100	Metabolic pathways	C00762	Cortisone
map01100	Metabolic pathways	C03205	11-Deoxycorticosterone
map01100	Metabolic pathways	C02140	Corticosterone
map01100	Metabolic pathways	C00535	Testosterone
map01100	Metabolic pathways	C05294	19-Hydroxytestosterone
map01100	Metabolic pathways	C05295	19-Oxotestosterone
map01100	Metabolic pathways	C08830	24-Methylidenecycloartanol
map01100	Metabolic pathways	C22116	3beta-Hydroxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1
map01100	Metabolic pathways	C22121	Cycloeucalenone
map01100	Metabolic pathways	C11508	4alpha-Methyl-5alpha-ergosta-8,14,24(28
map01100	Metabolic pathways	C15776	4alpha-Methylfecosterol
map01100	Metabolic pathways	C11522	24-Methylenelophenol
map01100	Metabolic pathways	C15777	Episterol
map01100	Metabolic pathways	C15780	5-Dehydroepisterol
map01100	Metabolic pathways	C15781	24-Methylenecholesterol
map01100	Metabolic pathways	C01595	Linoleate
map01100	Metabolic pathways	C14827	9(S
map01100	Metabolic pathways	C04717	(9Z,11E
map01100	Metabolic pathways	C14825	9(10
map01100	Metabolic pathways	C14771	14,15-EET
map01100	Metabolic pathways	C14775	14,15-DHET
map01100	Metabolic pathways	C06124	Sphingosine 1-phosphate
map01100	Metabolic pathways	C00319	Sphingosine
map01100	Metabolic pathways	C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol
map01100	Metabolic pathways	C06037	Digalactosyl-diacylglycerol
map01100	Metabolic pathways	C00344	Phosphatidylglycerol
map01100	Metabolic pathways	C05980	Cardiolipin
map01100	Metabolic pathways	C00540	Cinnamoyl-CoA
map01100	Metabolic pathways	C00903	Cinnamaldehyde
map01100	Metabolic pathways	C00521	(S
map01100	Metabolic pathways	C06099	(R
map01100	Metabolic pathways	C06308	(-
map01100	Metabolic pathways	C03190	(+
map01100	Metabolic pathways	C06304	(+
map01100	Metabolic pathways	C02462	Sabinene hydrate
map01100	Metabolic pathways	C16424	Isopentenyladenosine-5'-triphosphate
map01100	Metabolic pathways	C16428	trans-Zeatin riboside triphosphate
map01100	Metabolic pathways	C00371	Zeatin
map01100	Metabolic pathways	C15545	cis-Zeatin
map01100	Metabolic pathways	C05421	15-cis-Phytoene
map01100	Metabolic pathways	C05414	all-trans-Phytofluene
map01100	Metabolic pathways	C05430	all-trans-zeta-Carotene
map01100	Metabolic pathways	C05431	all-trans-Neurosporene
map01100	Metabolic pathways	C05432	Lycopene
map01100	Metabolic pathways	C05435	gamma-Carotene
map01100	Metabolic pathways	C08586	delta-Carotene
map01100	Metabolic pathways	C16276	epsilon-Carotene
map01100	Metabolic pathways	C05433	alpha-Carotene
map01100	Metabolic pathways	C08590	Zeinoxanthin
map01100	Metabolic pathways	C08601	Lutein
map01100	Metabolic pathways	C11899	10-Deacetyl-2-debenzoylbaccatin III
map01100	Metabolic pathways	C11861	Gibberellin A24
map01100	Metabolic pathways	C11895	Taxa-4(20
map01100	Metabolic pathways	C11897	Taxa-4(20
map01100	Metabolic pathways	C11700	10-Deacetylbaccatin III
map01100	Metabolic pathways	C11900	Baccatin III
map01100	Metabolic pathways	C16524	3'-N-Debenzoyltaxol
map01100	Metabolic pathways	C16476	4-Fluoromuconolactone
map01100	Metabolic pathways	C16474	3-Fluoro-cis,cis-muconate
map01100	Metabolic pathways	C02814	Benzene-1,2,4-triol
map01100	Metabolic pathways	C03676	3-Hydroxy-cis,cis-muconate
map01100	Metabolic pathways	C01163	3-Carboxy-cis,cis-muconate
map01100	Metabolic pathways	C02222	2-Maleylacetate
map01100	Metabolic pathways	C00846	3-Oxoadipate
map01100	Metabolic pathways	C00512	Benzoyl-CoA
map01100	Metabolic pathways	C06758	p-Tolualdehyde
map01100	Metabolic pathways	C06588	Biphenyl
map01100	Metabolic pathways	C07212	o-Xylene
map01100	Metabolic pathways	C07213	2-Methylbenzyl alcohol
map01100	Metabolic pathways	C07208	m-Xylene
map01100	Metabolic pathways	C07216	3-Methylbenzyl alcohol
map01100	Metabolic pathways	C07209	3-Methylbenzaldehyde
map01100	Metabolic pathways	C01454	Toluate
map01100	Metabolic pathways	C01468	4-Cresol
map01100	Metabolic pathways	C00633	4-Hydroxybenzaldehyde
map01100	Metabolic pathways	C06677	Toluene-4-sulfonate
map01100	Metabolic pathways	C06756	p-Xylene
map01100	Metabolic pathways	C06757	4-Methylbenzyl alcohol
map01100	Metabolic pathways	C06670	2,4-Dichlorobenzoate
map01100	Metabolic pathways	C06671	2,4-Dichlorobenzoyl-CoA
map01100	Metabolic pathways	C06387	4-Chlorobenzoyl-CoA
map01100	Metabolic pathways	C02949	4-Hydroxybenzoyl-CoA
map01100	Metabolic pathways	C02370	4-Chlorobenzoate
map01100	Metabolic pathways	C06329	2-Chloromaleylacetate
map01100	Metabolic pathways	C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
map01100	Metabolic pathways	C04729	trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
map01100	Metabolic pathways	C07095	2,5-Dichloro-cis,cis-muconate
map01100	Metabolic pathways	C07094	3,6-Dichlorocatechol
map01100	Metabolic pathways	C07093	3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
map01100	Metabolic pathways	C07092	1,4-Dichlorobenzene
map01100	Metabolic pathways	C07097	2,6-Dichlorohydroquinone
map01100	Metabolic pathways	C07099	2,3,6-Trichlorohydroquinone
map01100	Metabolic pathways	C03434	Tetrachlorohydroquinone
map01100	Metabolic pathways	C16210	4-(3-Hydroxy-2-naphthyl
map01100	Metabolic pathways	C16204	1,2-Anthracenediol
map01100	Metabolic pathways	C16203	Anthracene-cis-1,2-dihydrodiol
map01100	Metabolic pathways	C14315	Anthracene
map01100	Metabolic pathways	C07729	Dibenzofuran
map01100	Metabolic pathways	C03569	2,2',3-Trihydroxybiphenyl
map01100	Metabolic pathways	C07731	2-Hydroxy-6-oxo-6-(2-hydroxyphenyl
map01100	Metabolic pathways	C07732	Dibenzo-p-dioxin
map01100	Metabolic pathways	C07733	2,2',3-Trihydroxydiphenylether
map01100	Metabolic pathways	C07734	2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy
map01100	Metabolic pathways	C07715	Fluorene
map01100	Metabolic pathways	C06712	Fluoren-9-one
map01100	Metabolic pathways	C16262	1-Hydro-1,1a-dihydroxy-9-fluorenone
map01100	Metabolic pathways	C16263	2,3-Dihydroxy-2'-carboxybiphenyl
map01100	Metabolic pathways	C16264	2-Hydroxy-6-oxo-6-(2-carboxyphenyl
map01100	Metabolic pathways	C01606	Phthalate
map01100	Metabolic pathways	C04783	cis-4,5-Dihydroxycyclohexa-1(6
map01100	Metabolic pathways	C03233	4,5-Dihydroxyphthalate
map01100	Metabolic pathways	C06322	Cyclohexa-1,5-diene-1-carbonyl-CoA
map01100	Metabolic pathways	C06749	6-Hydroxycyclohex-1-ene-1-carbonyl-CoA
map01100	Metabolic pathways	C09821	6-Oxocyclohex-1-ene-1-carbonyl-CoA
map01100	Metabolic pathways	C06714	3-Hydroxypimeloyl-CoA
map01100	Metabolic pathways	C01455	Toluene
map01100	Metabolic pathways	C09816	Benzylsuccinate
map01100	Metabolic pathways	C09817	Benzylsuccinyl-CoA
map01100	Metabolic pathways	C09818	E-Phenylitaconyl-CoA
map01100	Metabolic pathways	C09819	(2S
map01100	Metabolic pathways	C09820	(S
map01100	Metabolic pathways	C02480	cis,cis-Muconate
map01100	Metabolic pathways	C14610	(S
map01100	Metabolic pathways	C02232	3-Oxoadipyl-CoA
map01100	Metabolic pathways	C01278	2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate
map01100	Metabolic pathways	C06593	epsilon-Caprolactam
map01100	Metabolic pathways	C02378	6-Aminohexanoate
map01100	Metabolic pathways	C06102	Adipate semialdehyde
map01100	Metabolic pathways	C06104	Adipate
map01100	Metabolic pathways	C14143	Adipyl-CoA
map01100	Metabolic pathways	C14144	5-Carboxy-2-pentenoyl-CoA
map01100	Metabolic pathways	C14145	(3S
